2024-11-16 23:14:55 : ===================== 2024-11-16T23:14:55.166510 =====================
2024-11-16 23:14:55 : ===================== FINE-TUNING ON PROMPT 1 =====================
2024-11-16 23:14:55 : Settings: Namespace(data='init/asap_5_splits.csv', bert_model_path='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p8_3', chunk_sizes='90_30_130_10', prompt=[1], batch_size=16, epochs=80, sample=-1, learning_rate=6e-05, result_file='results/finetune/p1.txt', save_model='../../../ix/ix_models/Multi-Scale-BERT-AES-Models/p1/p1.pt', device='cuda', log=PosixPath('logs/finetune-p1.log'), comment='Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.')
2024-11-16 23:14:55 : Additional Comments: Using google-bert/bert-base-uncased. Removed the direct path to their finetuned word and chunk models.
2024-11-16 23:15:00 : Train/Eval/Test: 1076/349/358
2024-11-16 23:15:00 : Started training loop for p1.pt
2024-11-16 23:27:08 : 4/80 | 67/68: 0.05974
2024-11-16 23:27:52 : 4: Evaluation loss: 0.61540 | Pearson: 0.78000 | QWK:  0.75200
2024-11-16 23:27:54 : 5/80 | 0/68: 0.11604
2024-11-16 23:27:56 : 5/80 | 1/68: 0.10007
2024-11-16 23:27:58 : 5/80 | 2/68: 0.06333
2024-11-16 23:28:00 : 5/80 | 3/68: 0.10331
2024-11-16 23:28:02 : 5/80 | 4/68: 0.06497
2024-11-16 23:28:04 : 5/80 | 5/68: 0.03408
2024-11-16 23:28:06 : 5/80 | 6/68: 0.04234
2024-11-16 23:28:08 : 5/80 | 7/68: 0.04428
2024-11-16 23:28:11 : 5/80 | 8/68: 0.08632
2024-11-16 23:28:13 : 5/80 | 9/68: 0.04420
2024-11-16 23:28:15 : 5/80 | 10/68: 0.11397
2024-11-16 23:28:17 : 5/80 | 11/68: 0.05372
2024-11-16 23:28:19 : 5/80 | 12/68: 0.02731
2024-11-16 23:28:21 : 5/80 | 13/68: 0.05205
2024-11-16 23:28:23 : 5/80 | 14/68: 0.05356
2024-11-16 23:28:25 : 5/80 | 15/68: 0.03039
2024-11-16 23:28:27 : 5/80 | 16/68: 0.03985
2024-11-16 23:28:29 : 5/80 | 17/68: 0.04747
2024-11-16 23:28:31 : 5/80 | 18/68: 0.03831
2024-11-16 23:28:33 : 5/80 | 19/68: 0.04626
2024-11-16 23:28:35 : 5/80 | 20/68: 0.05294
2024-11-16 23:28:37 : 5/80 | 21/68: 0.03163
2024-11-16 23:28:39 : 5/80 | 22/68: 0.02044
2024-11-16 23:28:41 : 5/80 | 23/68: 0.03713
2024-11-16 23:28:43 : 5/80 | 24/68: 0.06046
2024-11-16 23:28:45 : 5/80 | 25/68: 0.08253
2024-11-16 23:28:47 : 5/80 | 26/68: 0.04697
2024-11-16 23:28:49 : 5/80 | 27/68: 0.04744
2024-11-16 23:28:51 : 5/80 | 28/68: 0.04617
2024-11-16 23:28:53 : 5/80 | 29/68: 0.05740
2024-11-16 23:28:55 : 5/80 | 30/68: 0.07858
2024-11-16 23:28:57 : 5/80 | 31/68: 0.02666
2024-11-16 23:28:59 : 5/80 | 32/68: 0.02997
2024-11-16 23:29:02 : 5/80 | 33/68: 0.04724
2024-11-16 23:29:04 : 5/80 | 34/68: 0.08308
2024-11-16 23:29:06 : 5/80 | 35/68: 0.05291
2024-11-16 23:29:08 : 5/80 | 36/68: 0.03292
2024-11-16 23:29:10 : 5/80 | 37/68: 0.06818
2024-11-16 23:29:12 : 5/80 | 38/68: 0.01681
2024-11-16 23:29:14 : 5/80 | 39/68: 0.04529
2024-11-16 23:29:16 : 5/80 | 40/68: 0.08794
2024-11-16 23:29:18 : 5/80 | 41/68: 0.07005
2024-11-16 23:29:20 : 5/80 | 42/68: 0.02352
2024-11-16 23:29:22 : 5/80 | 43/68: 0.05310
2024-11-16 23:29:25 : 5/80 | 44/68: 0.03320
2024-11-16 23:29:27 : 5/80 | 45/68: 0.06455
2024-11-16 23:29:29 : 5/80 | 46/68: 0.03108
2024-11-16 23:29:31 : 5/80 | 47/68: 0.03591
2024-11-16 23:29:33 : 5/80 | 48/68: 0.04077
2024-11-16 23:29:35 : 5/80 | 49/68: 0.05647
2024-11-16 23:29:37 : 5/80 | 50/68: 0.02231
2024-11-16 23:29:39 : 5/80 | 51/68: 0.03769
2024-11-16 23:29:42 : 5/80 | 52/68: 0.02467
2024-11-16 23:29:44 : 5/80 | 53/68: 0.02325
2024-11-16 23:29:46 : 5/80 | 54/68: 0.06056
2024-11-16 23:29:48 : 5/80 | 55/68: 0.03534
2024-11-16 23:29:50 : 5/80 | 56/68: 0.03444
2024-11-16 23:29:52 : 5/80 | 57/68: 0.03075
2024-11-16 23:29:54 : 5/80 | 58/68: 0.05051
2024-11-16 23:29:57 : 5/80 | 59/68: 0.04161
2024-11-16 23:29:59 : 5/80 | 60/68: 0.06796
2024-11-16 23:30:01 : 5/80 | 61/68: 0.03247
2024-11-16 23:30:03 : 5/80 | 62/68: 0.03914
2024-11-16 23:30:05 : 5/80 | 63/68: 0.02773
2024-11-16 23:30:08 : 5/80 | 64/68: 0.04964
2024-11-16 23:30:10 : 5/80 | 65/68: 0.06624
2024-11-16 23:30:12 : 5/80 | 66/68: 0.03639
2024-11-16 23:30:14 : 5/80 | 67/68: 0.06566
2024-11-16 23:30:58 : 5: Evaluation loss: 0.55780 | Pearson: 0.78300 | QWK:  0.75700
2024-11-16 23:31:00 : 6/80 | 0/68: 0.07362
2024-11-16 23:31:02 : 6/80 | 1/68: 0.04387
2024-11-16 23:31:05 : 6/80 | 2/68: 0.03863
2024-11-16 23:31:07 : 6/80 | 3/68: 0.04915
2024-11-16 23:31:09 : 6/80 | 4/68: 0.02522
2024-11-16 23:31:11 : 6/80 | 5/68: 0.03648
2024-11-16 23:31:13 : 6/80 | 6/68: 0.04694
2024-11-16 23:31:15 : 6/80 | 7/68: 0.03697
2024-11-16 23:31:17 : 6/80 | 8/68: 0.01435
2024-11-16 23:31:19 : 6/80 | 9/68: 0.06500
2024-11-16 23:31:21 : 6/80 | 10/68: 0.03581
2024-11-16 23:31:23 : 6/80 | 11/68: 0.03408
2024-11-16 23:31:26 : 6/80 | 12/68: 0.02472
2024-11-16 23:31:28 : 6/80 | 13/68: 0.04046
2024-11-16 23:31:30 : 6/80 | 14/68: 0.03914
2024-11-16 23:31:32 : 6/80 | 15/68: 0.03924
2024-11-16 23:31:34 : 6/80 | 16/68: 0.04418
2024-11-16 23:31:36 : 6/80 | 17/68: 0.02167
2024-11-16 23:31:38 : 6/80 | 18/68: 0.05418
2024-11-16 23:31:40 : 6/80 | 19/68: 0.02115
2024-11-16 23:31:42 : 6/80 | 20/68: 0.03848
2024-11-16 23:31:44 : 6/80 | 21/68: 0.08027
2024-11-16 23:31:46 : 6/80 | 22/68: 0.07692
2024-11-16 23:31:48 : 6/80 | 23/68: 0.02334
2024-11-16 23:31:50 : 6/80 | 24/68: 0.04573
2024-11-16 23:31:52 : 6/80 | 25/68: 0.02915
